sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
175,10.898243762830232,3.841568217778277,9,9,0,1,0,10,9.965463442812403,126,5
176,24.75843786207249,17.805958407637938,8,8,0,3,1,8,12.690297453634239,119,5
177,10.391490273208847,3.887287516970204,9,9,0,1,0,10,9.90226340287477,141,5
178,10.898243762830232,3.841568217778277,9,9,0,1,0,10,9.965463442812403,126,5
179,27.863300050838603,5.735005417292394,14,14,0,2,0,13,11.529210810502361,121,6
180,27.843112940746693,5.497031980326776,13,13,0,2,0,13,11.71388247855553,121,6
181,10.898243762830232,3.841568217778277,9,9,0,1,0,10,9.965463442812403,126,5
182,26.355520317925773,5.535425390114959,8,8,0,2,0,13,11.432029760575535,121,6
183,27.863300050838603,5.735005417292394,14,14,0,2,0,13,11.529210810502361,121,6
184,24.55575001809614,8.749741894043208,5,5,0,4,0,20,10.594653575310655,121,6
185,27.863300050838603,5.735005417292394,14,14,0,2,0,13,11.529210810502361,121,6
186,12.870305546490583,5.256986361690721,13,13,0,1,0,10,10.209679367707693,126,6
187,27.49015759842043,5.7702279614992555,14,14,0,2,0,13,11.588360452129754,148,6
188,27.150466363797037,4.556653281065342,14,14,0,2,0,13,12.70806500370467,121,5
189,27.863300050838603,5.735005417292394,14,14,0,2,0,13,11.529210810502361,121,6
190,9.59052038344306,2.7303091612886754,9,9,0,1,0,10,10.997258673234336,126,4
191,27.863300050838603,5.735005417292394,14,14,0,2,0,13,11.529210810502361,121,6
192,18.169669466355234,9.765472003030354,8,8,0,3,1,11,11.603945054097322,119,5
193,16.061579806378123,4.52326392552972,4,4,0,2,0,10,12.08663896701642,119,5
194,24.75843786207249,17.805958407637938,8,8,0,3,1,8,12.690297453634239,119,5
195,16.061579806378123,4.52326392552972,4,4,0,2,0,10,12.08663896701642,119,5
196,27.863300050838603,5.735005417292394,14,14,0,2,0,13,11.529210810502361,121,6
197,27.863300050838603,5.735005417292394,14,14,0,2,0,13,11.529210810502361,121,6
198,27.863300050838603,5.735005417292394,14,14,0,2,0,13,11.529210810502361,121,6
199,27.958264709960353,5.4270140480805855,15,15,0,2,0,13,12.467488687419294,121,6
200,24.140568834152674,16.24232685639213,11,11,0,3,1,8,16.8535764287371,51,4
201,21.39752961212814,4.829335169747974,7,7,0,2,0,12,13.707632657346446,121,6
202,14.443055680016617,3.9354273407459175,10,10,0,2,0,10,11.536350498117422,121,5
203,27.958264709960353,5.4270140480805855,15,15,0,2,0,13,12.467488687419294,121,6
204,13.987768418542874,2.812792318948049,4,4,0,1,0,5,14.125130556045784,88,3
205,22.909769407427405,5.585097309290005,15,15,0,2,0,11,12.995533899847464,129,6
206,27.54906375887694,5.4649237717303185,15,15,0,2,0,13,12.630967551591695,154,6
207,16.91312536246473,4.861860063701624,5,5,0,2,0,11,12.356763927421717,140,6
208,20.737311306051385,4.072430263619194,8,8,0,2,0,13,15.10042576070823,121,5
209,16.91312536246473,4.861860063701624,5,5,0,2,0,11,12.356763927421717,140,6
210,27.920981619147963,5.4703171719341865,15,15,0,2,0,13,12.105561258004153,121,6
211,19.869572537768295,4.0779280600379035,7,7,0,2,0,10,13.83682217683655,126,5
212,26.933099492396764,5.204344054636261,15,15,0,1,0,8,11.26419486582689,121,5
213,15.216683363802321,3.60816185466951,5,5,0,1,0,6,12.492039237644438,145,4
214,28.33650025467,4.870467801845979,5,5,0,2,0,11,12.272909668988808,122,6
215,19.805103037541006,4.7880144546328305,3,3,0,2,0,14,12.389817314596476,126,6
216,27.949009998739136,4.900754531270586,5,5,0,2,0,11,12.45329950227394,152,6
217,20.061232172510174,4.702337027276526,10,10,0,4,0,20,13.112442916279436,119,6
218,28.411368339401943,4.875832970235878,6,6,0,2,0,11,13.042914057941621,122,6
219,28.411368339401943,4.875832970235878,6,6,0,2,0,11,13.042914057941621,122,6
220,16.106453778531147,7.135231782759139,3,3,0,3,0,19,13.476631548928632,128,6
221,14.626107923309572,3.944310302136065,2,2,0,2,0,10,14.084236326967247,119,5
222,28.411368339401943,4.875832970235878,6,6,0,2,0,11,13.042914057941621,122,6
223,28.411368339401943,4.875832970235878,6,6,0,2,0,11,13.042914057941621,122,6
224,28.411368339401943,4.875832970235878,6,6,0,2,0,11,13.042914057941621,122,6
225,27.698534652360376,3.814470012790403,6,6,0,2,0,11,14.60202641628362,122,5
226,13.805090077706991,2.860555493527063,12,12,0,2,0,10,13.966004666936945,121,4
227,25.30650615063583,3.8752174440271214,3,3,0,2,0,11,14.06648969156791,122,5
228,27.31133503710641,4.709605425541213,5,5,0,1,0,6,11.039517528147437,122,5
229,27.698534652360376,3.814470012790403,6,6,0,2,0,11,14.60202641628362,122,5
230,13.895859210662138,3.9721019195617506,2,2,0,2,0,10,14.184336289108582,147,5
231,18.81939662387348,5.087034931063168,9,9,0,2,0,12,13.011899365407679,122,6
232,27.698534652360376,3.814470012790403,6,6,0,2,0,11,14.60202641628362,122,5
233,28.411368339401943,4.875832970235878,6,6,0,2,0,11,13.042914057941621,122,6
234,26.90769102096438,4.9854793432606455,15,15,0,2,0,13,12.999713131389006,119,6
235,15.625623653203139,4.6245810176258875,8,8,0,1,0,7,11.810329861766391,122,6
236,22.514789247136452,5.649531979709034,4,4,0,2,0,10,13.255024318914264,121,6
237,28.411368339401943,4.875832970235878,6,6,0,2,0,11,13.042914057941621,122,6
238,20.863291301468443,4.941706515514461,5,5,0,2,0,11,13.749976044837245,122,6
239,28.411368339401943,4.875832970235878,6,6,0,2,0,11,13.042914057941621,122,6
240,14.625530979500681,3.9421497575234365,2,2,0,2,0,10,14.084236326967247,119,5
241,23.454996021212917,4.768345464445978,16,16,0,2,0,12,12.61233730437881,125,6
242,25.26511450097521,3.8575801529239433,2,2,0,2,0,11,13.560761419690637,122,5
243,28.411368339401943,4.875832970235878,6,6,0,2,0,11,13.042914057941621,122,6
244,17.458055284165745,3.8950560560124754,10,10,0,2,0,10,12.491962089415688,134,5
245,28.38240894457562,4.952871467876016,6,6,0,2,0,11,13.042914057941621,122,6
246,10.190374087769246,3.318401382891426,7,7,0,1,0,7,12.036488447254731,122,5
247,28.438451191444237,4.892306689173734,6,6,0,2,0,11,13.042914057941621,122,6
248,14.628824094315112,3.959800299221171,3,3,0,2,0,10,14.084236326967247,119,5
249,28.438451191444237,4.892306689173734,6,6,0,2,0,11,13.042914057941621,122,6
250,16.103536142309302,3.9828352898168844,12,12,0,2,0,10,12.42681283751579,126,5
251,14.545006616790854,4.028271093544958,12,12,0,2,0,10,12.379313049403793,121,5
252,27.72561750440267,3.8309437317282575,6,6,0,2,0,11,14.60202641628362,122,5
253,28.438451191444237,4.892306689173734,6,6,0,2,0,11,13.042914057941621,122,6
254,24.253035916304682,5.0041468078989,5,5,0,2,0,11,12.707745209533119,122,6
255,28.438451191444237,4.892306689173734,6,6,0,2,0,11,13.042914057941621,122,6
256,27.31133503710641,4.709605425541213,5,5,0,1,0,6,11.039517528147437,122,5
257,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
258,20.9379277428129,17.652647546405102,4,4,0,4,0,20,13.266590245137431,119,6
259,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
260,14.548686277233406,4.031980641853751,12,12,0,2,0,10,12.379313049403793,121,5
261,28.356932215894044,4.883053915734515,5,5,0,2,0,11,12.251141308540777,122,6
262,27.31133503710641,4.709605425541213,5,5,0,1,0,6,11.039517528147437,122,5
263,28.14877994248689,4.917456070566615,6,6,0,2,0,11,13.18520400553992,139,6
264,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
265,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
266,14.548686277233406,4.031980641853751,12,12,0,2,0,10,12.379313049403793,121,5
267,13.870325972970177,3.696438887913101,3,3,0,1,0,6,12.66474543784669,119,5
268,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
269,26.02586545592039,4.959405877769023,4,4,0,2,0,12,12.952414879497743,122,6
270,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
271,28.332330613312614,4.847624656876083,5,5,0,2,0,11,12.558745781499463,122,6
272,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
273,25.425169376625995,4.832051871845268,6,6,0,2,0,11,14.209637244532669,122,6
274,24.902257061562853,3.9280679131245533,3,3,0,2,0,11,14.222272409109797,165,5
275,27.729297164845224,3.8341155642656406,6,6,0,2,0,11,14.60202641628362,122,5
276,10.193181525365743,3.338528206211659,7,7,0,1,0,7,12.036488447254731,122,5
277,25.00638072277151,5.491140794188141,11,11,0,2,0,13,13.493604553660624,123,6
278,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
279,17.735287771020317,4.8899278683473515,40,40,0,2,0,12,12.235162183937213,122,6
280,22.198222483359313,13.562286359994525,20,20,0,3,1,13,13.534794919260232,121,6
281,26.43831570373729,4.986161371094901,4,4,0,2,0,11,12.95873961958366,122,6
282,22.489270996090923,5.628046587691317,4,4,0,2,0,10,13.24150579929629,121,6
283,10.193181525365743,3.338528206211659,7,7,0,1,0,7,12.036488447254731,122,5
284,10.193181525365743,3.338528206211659,7,7,0,1,0,7,12.036488447254731,122,5
285,25.33726866312068,3.8948629955023586,3,3,0,2,0,11,14.06648969156791,122,5
286,26.134013948569486,4.901297827464335,9,9,0,2,0,12,12.688023168833437,122,6
287,28.012218814615906,4.92880515613017,6,6,0,2,0,11,13.354360029624894,161,6
288,14.135485922279376,4.643866078492685,7,6,1,1,0,7,11.749261056561721,122,6
289,28.43943870112845,4.92114569513437,6,6,0,2,0,11,13.042914057941621,122,6
290,16.56716994311365,4.665136643306059,4,4,0,2,0,11,13.235484020241618,134,6
291,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
292,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
293,18.925977034264143,4.545433131106021,3,3,0,2,0,10,13.192165811214846,190,6
294,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
295,25.33726866312068,3.8948629955023586,3,3,0,2,0,11,14.06648969156791,122,5
296,14.454658516485393,3.7847202678972414,2,2,0,1,0,5,11.787596902108023,119,4
297,14.548686277233406,4.031980641853751,12,12,0,2,0,10,12.379313049403793,121,5
298,27.687502887907602,3.814386589762159,5,5,0,2,0,11,14.025343318342706,122,5
299,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
300,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
301,28.230680995841055,4.910196223749501,6,6,0,2,0,11,13.123397173677999,131,6
302,28.44213085188679,4.895478521711115,6,6,0,2,0,11,13.042914057941621,122,6
303,27.729297164845224,3.8341155642656406,6,6,0,2,0,11,14.60202641628362,122,5
304,28.046141755446037,4.927297032276902,6,6,0,2,0,11,13.302780671306676,154,6
305,14.548686277233406,4.031980641853751,12,12,0,2,0,10,12.379313049403793,121,5
306,28.137197354509002,4.91732933222293,6,6,0,2,0,11,13.200407726986898,140,6
